code_id,amplitude_mad,interval_jitter_fraction,threshold,synthetic_recoveries,synthetic_injections,synthetic_recovery_fraction,exact_lower,exact_upper,engineering_check_only
legacy_lrl,2.0,0.05,0.8,84,120,0.7,0.6096038905778616,0.7802435007594766,True
legacy_lrl,2.0,0.15,0.8,80,120,0.6666666666666666,0.5748217121636483,0.7500649106972854,True
legacy_lrl,2.0,0.25,0.8,83,120,0.6916666666666667,0.6008632354680479,0.7727448803661683,True
legacy_lrl,4.0,0.05,0.8,108,120,0.9,0.8318347872973342,0.9472522136099402,True
legacy_lrl,4.0,0.15,0.8,108,120,0.9,0.8318347872973342,0.9472522136099402,True
legacy_lrl,4.0,0.25,0.8,108,120,0.9,0.8318347872973342,0.9472522136099402,True
legacy_lrl,6.0,0.05,0.8,116,120,0.9666666666666667,0.9168512785714898,0.9908444944431632,True
legacy_lrl,6.0,0.15,0.8,111,120,0.925,0.8623989421096329,0.9651326093880379,True
legacy_lrl,6.0,0.25,0.8,115,120,0.9583333333333334,0.9054412000240628,0.9863346158832105,True
legacy_lrlr,2.0,0.05,0.775,90,120,0.75,0.6627307837080039,0.8245353809699434,True
legacy_lrlr,2.0,0.15,0.775,80,120,0.6666666666666666,0.5748217121636483,0.7500649106972854,True
legacy_lrlr,2.0,0.25,0.775,81,120,0.675,0.5834727542807276,0.7576549299334755,True
legacy_lrlr,4.0,0.05,0.775,107,120,0.8916666666666667,0.8218725616110574,0.941041693770915,True
legacy_lrlr,4.0,0.15,0.775,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
legacy_lrlr,4.0,0.25,0.775,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
legacy_lrlr,6.0,0.05,0.775,114,120,0.95,0.8943461454812877,0.9814324132173309,True
legacy_lrlr,6.0,0.15,0.775,114,120,0.95,0.8943461454812877,0.9814324132173309,True
legacy_lrlr,6.0,0.25,0.775,115,120,0.9583333333333334,0.9054412000240628,0.9863346158832105,True
legacy_lrlrlr,2.0,0.05,0.725,89,120,0.7416666666666667,0.6537905952887388,0.8172414698303413,True
legacy_lrlrlr,2.0,0.15,0.725,85,120,0.7083333333333334,0.6183757182711229,0.7877102517883379,True
legacy_lrlrlr,2.0,0.25,0.725,84,120,0.7,0.6096038905778616,0.7802435007594766,True
legacy_lrlrlr,4.0,0.05,0.725,110,120,0.9166666666666666,0.8520845706626649,0.9593138711319835,True
legacy_lrlrlr,4.0,0.15,0.725,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
legacy_lrlrlr,4.0,0.25,0.725,105,120,0.875,0.8022235896481744,0.9283203231112478,True
legacy_lrlrlr,6.0,0.05,0.725,116,120,0.9666666666666667,0.9168512785714898,0.9908444944431632,True
legacy_lrlrlr,6.0,0.15,0.725,114,120,0.95,0.8943461454812877,0.9814324132173309,True
legacy_lrlrlr,6.0,0.25,0.725,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
sync8_c0,2.0,0.05,0.725,86,120,0.7166666666666667,0.6271794615782886,0.7951443321364773,True
sync8_c0,2.0,0.15,0.725,77,120,0.6416666666666667,0.5490390361808863,0.7271215188316005,True
sync8_c0,2.0,0.25,0.725,73,120,0.6083333333333333,0.515043744157083,0.696143299446448,True
sync8_c0,4.0,0.05,0.725,107,120,0.8916666666666667,0.8218725616110574,0.941041693770915,True
sync8_c0,4.0,0.15,0.725,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
sync8_c0,4.0,0.25,0.725,103,120,0.8583333333333333,0.7828931017566235,0.9152552705054843,True
sync8_c0,6.0,0.05,0.725,114,120,0.95,0.8943461454812877,0.9814324132173309,True
sync8_c0,6.0,0.15,0.725,113,120,0.9416666666666667,0.8835016203543854,0.9762279762094809,True
sync8_c0,6.0,0.25,0.725,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
sync8_c1,2.0,0.05,0.675,89,120,0.7416666666666667,0.6537905952887388,0.8172414698303413,True
sync8_c1,2.0,0.15,0.675,88,120,0.7333333333333333,0.6448859874929813,0.8099109272179073,True
sync8_c1,2.0,0.25,0.675,86,120,0.7166666666666667,0.6271794615782886,0.7951443321364773,True
sync8_c1,4.0,0.05,0.675,111,120,0.925,0.8623989421096329,0.9651326093880379,True
sync8_c1,4.0,0.15,0.675,109,120,0.9083333333333333,0.8419014588041668,0.9533477303447515,True
sync8_c1,4.0,0.25,0.675,107,120,0.8916666666666667,0.8218725616110574,0.941041693770915,True
sync8_c1,6.0,0.05,0.675,118,120,0.9833333333333333,0.9410907805329731,0.9979751776623069,True
sync8_c1,6.0,0.15,0.675,116,120,0.9666666666666667,0.9168512785714898,0.9908444944431632,True
sync8_c1,6.0,0.25,0.675,118,120,0.9833333333333333,0.9410907805329731,0.9979751776623069,True
